chem,cas,cat,mean,median,perc_75,perc_95,perc_99,sample_size,year,frac_nd
Blood Tetrachloroethene (ng/mL),127-18-4,Race/eth: Non-hispanic white,,,,0.077,1.28,952,2017-2018,0.938325991189427
Blood Tetrachloroethene (ng/mL),127-18-4,Race/eth: Other,,,,,0.195,529,2017-2018,0.938325991189427
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Gender: female,2.68322708370315,1.88,4.61,77.9,181,1238,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Gender: male,3.14925285417656,2.15,6.16,90.3,194,1240,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Income: Missing,2.11016782278789,1.39,3.43,50.6,281,177,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Income: PIR above 2,4.1988605700546,2.63,10.8,122,210,1196,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Income: PIR below 2,2.36876509075714,1.71,3.96,62.7,134,1105,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Race/eth: Hispanic,5.5999182996992,1.88,3.55,35.8,118,665,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Race/eth: Non-hispanic black,2.30541387359889,3.33,22.9,131,208,532,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Race/eth: Non-hispanic white,2.24745315444354,1.88,5.43,89,194,904,2013-2014,0.283292978208232
"1-Aminonaphthalene, urine (pg/mL)",134-32-7,Race/eth: Other,2.84129363896327,1.68,3.52,47.5,113,377,2013-2014,0.283292978208232
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Gender: female,,,12.1,29.8,59,1516,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Gender: male,,,15.2,35.8,67,1499,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Income: Missing,,,12.6,34,67,311,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Income: PIR above 2,,,14.4,36.8,74.4,1433,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Income: PIR below 2,,,13.3,29.1,57.4,1271,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Hispanic,,,12.6,29.4,57.9,970,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Non-hispanic black,,10.1,17,46.5,75.8,656,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Non-hispanic white,,,13.6,31,59,912,2015-2016,0.602985074626866
Acrylamide metabolite: N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine (ng/mL),79-06-1,Race/eth: Other,,,12.1,30.6,79.2,477,2015-2016,0.602985074626866
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Gender: female,283.511384969976,300,506,983,1320,1356,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Gender: male,349.085482127904,379,573,968,1400,1335,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Income: Missing,361.871322855591,365,581,1180,1410,280,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Income: PIR above 2,318.394604747582,352,549,1020,1720,1290,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Income: PIR below 2,304.394645303317,332,536,917,1260,1121,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Race/eth: Hispanic,312.950592438827,336,508,877,1430,854,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Race/eth: Non-hispanic black,383.748387251984,411,618,1020,1600,611,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Race/eth: Non-hispanic white,303.88610393711,336,556,1000,1330,790,2015-2016,0
"1,3-Butadiene metabolite: N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine (ng/mL)",106-99-0,Race/eth: Other,262.498771003511,269,458,883,1320,436,2015-2016,0
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Gender: female,,0.803,1.63,5.53,14.3,1516,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Gender: male,,,1.59,5.06,12,1499,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Income: Missing,,0.817,2.07,8.72,23,311,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Income: PIR above 2,,0.911,1.97,7.47,21.4,1433,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Income: PIR below 2,,,1.41,4.2,8.72,1271,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Hispanic,,,1.71,4.46,14.4,970,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Non-hispanic black,,1.24,2.79,8.38,25,656,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Non-hispanic white,,,1.48,4.31,11,912,2015-2016,0.487230514096186
Acrylonitrile metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),107-13-1,Race/eth: Other,,,1.38,5.8,12.8,477,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Gender: female,,0.803,1.63,5.53,14.3,1516,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Gender: male,,,1.59,5.06,12,1499,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Income: Missing,,0.817,2.07,8.72,23,311,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Income: PIR above 2,,0.911,1.97,7.47,21.4,1433,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Income: PIR below 2,,,1.41,4.2,8.72,1271,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Race/eth: Hispanic,,,1.71,4.46,14.4,970,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Race/eth: Non-hispanic black,,1.24,2.79,8.38,25,656,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Race/eth: Non-hispanic white,,,1.48,4.31,11,912,2015-2016,0.487230514096186
Vinyl Chloride metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-01-4,Race/eth: Other,,,1.38,5.8,12.8,477,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Gender: female,,0.803,1.63,5.53,14.3,1516,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Gender: male,,,1.59,5.06,12,1499,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Income: Missing,,0.817,2.07,8.72,23,311,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Income: PIR above 2,,0.911,1.97,7.47,21.4,1433,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Income: PIR below 2,,,1.41,4.2,8.72,1271,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Race/eth: Hispanic,,,1.71,4.46,14.4,970,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Race/eth: Non-hispanic black,,1.24,2.79,8.38,25,656,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Race/eth: Non-hispanic white,,,1.48,4.31,11,912,2015-2016,0.487230514096186
Ethylene Oxide metabolite: N-acetyl-S-(2-Hydroxyethyl)-L-cysteine (ng/mL),75-21-8,Race/eth: Other,,,1.38,5.8,12.8,477,2015-2016,0.487230514096186
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Gender: female,,,,0.0155,0.0392,4000,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Gender: male,,,,0.0269,0.0736,3910,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Income: Missing,,,,0.0233,0.0402,603,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Income: PIR above 2,,,,0.0155,0.0401,3481,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Income: PIR below 2,,,,0.0294,0.0745,3826,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Race/eth: Hispanic,,,,0.0062,0.0243,2045,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Race/eth: Non-hispanic black,,,,0.0234,0.0593,1749,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Race/eth: Non-hispanic white,,,,0.0239,0.065,2936,2013-2014,0.84551201011378
"N'-Nitrosonornicotine, urine (ng/mL)",16543-55-8,Race/eth: Other,,,,0.0183,0.0568,1180,2013-2014,0.84551201011378
Branched iso of PFOS (ng/mL),1763-23-1,Gender: female,0.942447668438673,0.9,1.8,3.8,7.1,977,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Gender: male,1.60486136763713,1.7,2.9,5.3,7.6,952,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Income: Missing,1.01226051843755,1,1.9,4.1,7.1,841,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Income: PIR above 2,1.10065435691622,1.3,2.1,3.9,7,251,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Income: PIR below 2,1.37753890543331,1.4,2.5,4.6,7.5,837,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Hispanic,1.03789048043823,0.9,1.6,3.2,6,473,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Non-hispanic black,1.045359306332,1,2.1,5.6,7.9,430,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Non-hispanic white,1.40004013307109,1.5,2.6,4.6,7.4,667,2017-2018,0.00829445308449974
Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Other,0.892273785757988,1.1,1.8,4,6.6,359,2017-2018,0.00829445308449974
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Gender: female,2.39608559930866,2.3,3.9,9.3,17.6,977,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Gender: male,3.66697836011306,3.7,5.9,11.3,20.5,952,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Income: Missing,2.63101613175721,2.5,4.4,10.4,20.5,841,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Income: PIR above 2,2.82411365979733,3.3,5.1,11.1,27.9,251,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Income: PIR below 2,3.15688259986575,3.2,5.5,10.1,17.6,837,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Race/eth: Hispanic,3.09258257348746,2.2,3.8,7.5,14.6,473,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Race/eth: Non-hispanic black,2.78204445422486,3,5.4,16.6,52.6,430,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Race/eth: Non-hispanic white,3.17530931868916,3.3,5.5,9.6,15.5,667,2017-2018,0.0031104199066874
Linear perfluorooctane sulfonate (ng/mL),1763-23-1,Race/eth: Other,2.22985067452809,2.9,5,16.2,29.1,359,2017-2018,0.0031104199066874
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Gender: female,3.41335810824338,3.3,5.7,13.1,24,977,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Gender: male,5.3576071628795,5.5,8.8,15.8,26.2,952,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Income: Missing,3.71794375185587,3.5,6.4,14,26.2,841,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Income: PIR above 2,4.01927455669148,4.9,7.3,14.6,32.2,251,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Income: PIR below 2,4.6154083059796,4.8,8,15.1,24.6,837,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Race/eth: Hispanic,4.22289785271736,3.1,5.4,10,19.5,473,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Race/eth: Non-hispanic black,3.93601434787426,4,7.8,21.9,66.8,430,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Race/eth: Non-hispanic white,4.65334406166166,4.9,8.1,13.9,21.5,667,2017-2018,0.00414722654224987
Perfluorooctane sulfonic acid (ng/mL),1763-23-1,Race/eth: Other,3.17742222484977,4.1,6.9,19.9,33.9,359,2017-2018,0.00414722654224987
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Gender: female,,,,,,1209,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Gender: male,,,,,,1119,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Income: Missing,,,,,,177,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Income: PIR above 2,,,,,,1142,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Income: PIR below 2,,,,,,1009,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Hispanic,,,,,,611,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Non-hispanic black,,,,,,476,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Non-hispanic white,,,,,,908,2013-2014,1
Urinary Branched iso of PFOS (ng/mL),1763-23-1,Race/eth: Other,,,,,,333,2013-2014,1
Mirex (ng/g),2385-85-5,Gender: female,,,,0.0767,0.2783,1002,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Gender: male,,,,0.1068,0.2252,949,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Income: Missing,,,,,0.7578,103,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Income: PIR above 2,,,,0.0767,0.2608,931,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Income: PIR below 2,,,,0.1058,0.2562,917,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Race/eth: Hispanic,,,,0.0822,0.1613,524,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Race/eth: Non-hispanic black,,,,0.2562,0.6644,473,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Race/eth: Non-hispanic white,,,,0.0787,0.2153,875,2003-2004,0.902101486417222
Mirex (ng/g),2385-85-5,Race/eth: Other,,,,0.0919,0.1021,79,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Gender: female,,,,11.6,45.5,1002,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Gender: male,,,,15.5,40.3,949,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Income: Missing,,,,,119,103,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Income: PIR above 2,,,,11.6,33.4,931,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Income: PIR below 2,,,,15.7,43.2,917,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Race/eth: Hispanic,,,,12.2,31.3,524,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Race/eth: Non-hispanic black,,,,40.3,120,473,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Race/eth: Non-hispanic white,,,,11.6,40.3,875,2003-2004,0.902101486417222
Mirex Lipid Adj (ng/g),2385-85-5,Race/eth: Other,,,,11.6,17.4,79,2003-2004,0.902101486417222
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Gender: female,,,1.73,54.5,116,1283,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Gender: male,,0.74,2.91,61.4,128,1285,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Income: Missing,,,1.61,47.5,90.7,180,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Income: PIR above 2,,0.75,5.01,79.9,184,1243,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Income: PIR below 2,,,1.63,41.8,97.2,1145,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Race/eth: Hispanic,,0.63,1.63,23.9,107,683,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Race/eth: Non-hispanic black,,0.76,6.63,79.8,147,554,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Race/eth: Non-hispanic white,,0.62,2.69,60.5,117,943,2013-2014,0.501947040498442
"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",26148-68-5,Race/eth: Other,,,1.32,26.2,52.1,388,2013-2014,0.501947040498442
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Gender: female,,,,1.7,9.3,1399,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Gender: male,,,,1.9,5.9,1363,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Income: Missing,,,,1.8,8.4,1264,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Income: PIR above 2,,,,1.4,15.3,337,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Income: PIR below 2,,,,1.8,5.9,1161,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Race/eth: Hispanic,,,,2.4,6.2,663,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Race/eth: Non-hispanic black,,,,1.9,13.9,645,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Race/eth: Non-hispanic white,,,,1.7,5.9,906,2017-2018,0.865677045619117
Di-isononyl phthalate metabolite: Mono-isononyl phthalate (ng/mL),28553-12-0,Race/eth: Other,,,,1.4,6.6,548,2017-2018,0.865677045619117
Beta-hexachlorocyclohexane (ng/g),319-85-7,Gender: female,,,0.1176,0.4422,2.1211,1007,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Gender: male,,,0.0687,0.2221,0.685,952,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Income: Missing,,,0.103,0.4299,2.1208,103,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Income: PIR above 2,,,0.1021,0.5904,2.2166,938,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Income: PIR below 2,,,0.0891,0.294,0.9048,918,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Race/eth: Hispanic,,0.0455,0.1376,0.6922,2.2166,525,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Race/eth: Non-hispanic black,,,0.0629,0.2881,0.6762,476,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Race/eth: Non-hispanic white,,,0.0817,0.2869,0.8302,878,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane (ng/g),319-85-7,Race/eth: Other,,0.0829,0.2611,2.2087,22.9709,80,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Gender: female,,,18.6,70.3,348,1007,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Gender: male,,,10.4,35.3,144,952,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Income: Missing,,,17.3,70.3,410,103,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Income: PIR above 2,,,16.5,87.6,326,938,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Income: PIR below 2,,,13,44.3,144,918,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Race/eth: Hispanic,,8.5,23.1,109,348,525,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Race/eth: Non-hispanic black,,,9.7,48.8,104,476,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Race/eth: Non-hispanic white,,,12.7,40.8,113,878,2003-2004,0.594180704441041
Beta-hexachlorocyclohexane Lipid Adj (ng/g),319-85-7,Race/eth: Other,,9.9,38,671,2850,80,2003-2004,0.594180704441041
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Gender: female,,,,0.1,0.2,977,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Gender: male,,,,0.2,0.3,952,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Income: Missing,,,,0.1,0.2,841,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Income: PIR above 2,,,,0.2,0.2,251,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Income: PIR below 2,,,,0.2,0.3,837,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Race/eth: Hispanic,,,,0.1,0.2,473,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Race/eth: Non-hispanic black,,,,0.1,0.2,430,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Race/eth: Non-hispanic white,,,,0.2,0.3,667,2017-2018,0.900466562986003
Branch perfluorooctanoic acid isomers (ng/mL),335-67-1,Race/eth: Other,,,,0.2,0.3,359,2017-2018,0.900466562986003
Linear perfluorooctanoate (ng/mL),335-67-1,Gender: female,1.16495167691427,1.2,1.9,3.7,6.9,977,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Gender: male,1.51133158171752,1.5,2.1,3.7,7.7,952,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Income: Missing,1.14560872718023,1.2,1.8,3.6,5.5,841,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Income: PIR above 2,1.19116550492848,1.4,1.9,3.6,6.7,251,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Income: PIR below 2,1.45783442889311,1.5,2.1,4.1,7.7,837,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Race/eth: Hispanic,1.07787062287711,1.2,1.6,2.9,5.3,473,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Race/eth: Non-hispanic black,1.29042619517725,1.2,1.7,3.3,5.3,430,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Race/eth: Non-hispanic white,1.44851342181768,1.5,2.2,3.7,7.7,667,2017-2018,0.00362882322446864
Linear perfluorooctanoate (ng/mL),335-67-1,Race/eth: Other,1.09352636914805,1.2,2,5.4,14.8,359,2017-2018,0.00362882322446864
Perfluorooctanoic acid (ng/mL),335-67-1,Gender: female,1.26159692854344,1.27,1.97,3.77,6.97,977,2017-2018,0.00570243649559357
Perfluorooctanoic acid (ng/mL),335-67-1,Gender: male,1.60529872455352,1.57,2.17,3.77,8.3,952,2017-2018,0.00570243649559357
Perfluorooctanoic acid (ng/mL),335-67-1,Income: Missing,1.24113918752744,1.27,1.87,3.67,5.7,841,2017-2018,0.00570243649559357
Perfluorooctanoic acid (ng/mL),335-67-1,Income: PIR above 2,1.29405503745894,1.5,1.97,3.67,6.77,251,2017-2018,0.00570243649559357
Perfluorooctanoic acid (ng/mL),335-67-1,Income: PIR below 2,1.55202754111997,1.57,2.27,4.17,8.3,837,2017-2018,0.00570243649559357
Perfluorooctanoic acid (ng/mL),335-67-1,Race/eth: Hispanic,1.17630087054508,1.27,1.67,2.97,5.37,473,2017-2018,0.00570243649559357
